codigo_material_recibido,cantidad_actual
XILI817000H-2511250085,1000
XILI817000H-2511250084,1000
XILI817000H-2511250083,1000
XILI817000H-2511250082,1000
XILI817000H-2511250081,1000
XILI817000H-2511250080,1000
XILI817000H-2511250079,1000
XILI817000H-2511250078,1000
XILI817000H-2511250077,1000
XILI817000H-2511250076,1000
XILI817000H-2511250075,1000
XILI817000H-2511250074,1000
XILI817000H-2511250073,1000
XILI817000H-2511250072,1000
XILI817000H-2511250071,1000
XILI817000H-2511250070,1000
XILI817000H-2511250069,1000
XILI817000H-2511250068,1000
XILI817000H-2511250067,1000
XILI817000H-2511250066,1000
XILI817000H-2511250065,1000
XILI817000H-2511250064,1000
XILI817000H-2511250063,1000
XILI817000H-2511250062,1000
XILI817000H-2511250061,1000
XILI817000H-2511250060,1000
XILI817000H-2511250059,1000
XILI817000H-2511250058,1000
XILI817000H-2511250057,1000
XILI817000H-2511250056,1000
XILI817000H-2511250055,1000
XILI817000H-2511250054,1000
XILI817000H-2511250053,1000
XILI817000H-2511250052,1000
XILI817000H-2511250051,1000
XAN63688101-2512180004,2500
XAN63688101-2512180003,2500
XAH63713501-2512220002,3000
XIKE358000C-2512100008,2500
XIKE358000C-2512100007,2500
XIKE358000C-2512100006,2500
XAN64028801-2512180006,900
XAN64028801-2512180005,900
XAN64028801-2512180004,900
XAN64028801-2512180003,900
XAN64028801-2512120004,900
XAN64028802-2512220006,450
XAN64028802-2512220005,450
XAN64028802-2512220004,450
XAN64028802-2512220003,450
XAN64028802-2512220002,450
XAN64028802-2512220001,450
XAN64028802-2512120006,450
XAN64028802-2512120005,450
XAN64028802-2512120004,450
XAN64028802-2512120003,450
XAN64028802-2512120002,450
XAN64028802-2512120001,450
XAN64028802-2512100006,450
XAN64028802-2512100005,450
XAN64028802-2512100004,450
XAN64028802-2512100003,450
XILI817000W-2512120030,1000
XILI817000W-2512120029,1000
XILI817000W-2512120028,1000
XILI817000W-2512120027,1000
XILI817000W-2512120026,1000
XILI817000W-2512120024,1000
XILI817000W-2512120025,1000
XILI817000W-2512120023,1000
